word1	word2	score
diagnostic	test	0.376
diagnostic	jaundice	0.037
diagnostic	le	0.049
diagnostic	many	0.059
diagnostic	least	-0.035
diagnostic	exactly	-0.038
diagnostic	several	0.048
diagnostic	fewer	-0.004
diagnostic	symptom	0.275
diagnostic	hyperthyroidism	0.15
diagnostic	ha	0.023
diagnostic	known	0.008
diagnostic	form	-0.04
diagnostic	treatment	0.246
diagnostic	type	-0.035
diagnostic	quadriplegia	-0.12
diagnostic	fatty	-0.051
diagnostic	liver	0.106
diagnose	diagnostic	0.634
diagnose	method	0.048
diagnose	differential	0.172
diagnose	diagnosis	0.71
diagnose	symptom	0.376
method	test	0.008
method	several	-0.059
method	symptom	0.079
method	treatment	0.179
method	type	0.198
method	platform	0.071
method	quadriplegia	-0.049
jaundice	method	-0.009
jaundice	symptom	0.292
differential	test	0.048
differential	jaundice	0.017
differential	le	0.047
differential	many	-0.032
differential	least	-0.037
differential	exactly	0.084
differential	several	-0.053
differential	symptom	0.11
differential	fatty	0.027
differential	liver	-0.059
differential	ha	-0.137
differential	type	0.003
diagnosis	test	0.227
diagnosis	jaundice	0.08
diagnosis	le	0.075
diagnosis	many	0.017
diagnosis	least	0.004
diagnosis	exactly	-0.002
diagnosis	several	-0.021
diagnosis	symptom	0.368
diagnosis	fatty	0.062
diagnosis	liver	0.101
diagnosis	ha	0.013
diagnosis	type	0.001
symptom	test	0.169
symptom	symptom	1.0
symptom	trypanosomiasis	0.116
symptom	treatment	0.227
symptom	type	0.051
symptom	usual	0.077
le	method	-0.057
le	symptom	-0.013
le	spouse	0.053
le	relative	0.064
le	parent	-0.007
le	resting	0.017
le	place	0.017
le	treasurer	0.015
le	type	0.008
le	occupation	0.008
le	year	0.043
le	official	0.04
le	name	-0.06
le	mater	0.074
le	student	-0.011
le	partner	-0.032
le	terminus	0.101
le	operator	-0.043
le	polity	0.002
le	unification	0.002
le	letterer	0.02
le	postal	0.021
le	website	0.001
le	score	-0.024
le	used	0.065
le	range	-0.018
le	locale	0.095
le	rolling	-0.036
le	stock	-0.02
le	residence	0.033
le	production	-0.011
le	produced	0.007
le	province	0.048
le	memory	0.003
le	released	0.049
le	producer	-0.056
le	release	0.054
le	usual	0.039
le	onset	-0.025
le	summer	-0.013
le	time	-0.018
le	zone	0.002
le	served	-0.005
le	start	-0.003
le	system	-0.064
le	previous	0.063
le	owner	0.074
le	location	0.012
le	treatment	0.014
le	risk	-0.017
le	nearest	0.009
le	successor	-0.009
le	screenplay	-0.005
le	license	-0.024
le	platform	0.037
le	user	-0.048
le	variant	0.073
le	related	0.073
le	product	-0.066
le	origin	0.058
le	observed	0.004
le	recorded	-0.079
le	mother	0.036
le	music	-0.019
le	significance	0.03
le	speaker	-0.043
le	representative	-0.024
le	prime	0.056
le	minister	0.011
le	skill	-0.016
le	tested	0.03
le	purpose	-0.065
le	service	0.014
le	style	-0.022
le	president	0.083
le	national	0.142
le	secretary	0.017
le	party	0.039
le	written	0.015
le	nationality	-0.005
le	subject	0.018
le	street	-0.053
le	recognised	-0.034
le	regional	0.046
le	succeeded	0.052
le	preceded	-0.012
many	method	-0.017
many	symptom	-0.043
many	spouse	-0.001
many	relative	-0.052
many	parent	-0.059
many	year	0.06
many	type	-0.001
many	treasurer	-0.018
many	name	0.055
many	observed	-0.037
many	observance	-0.066
many	official	0.022
many	religion	-0.103
many	occupation	0.035
many	mater	0.019
many	student	0.027
many	terminus	-0.051
many	operator	-0.056
many	polity	-0.027
many	unification	0.081
many	written	0.015
many	postal	-0.009
many	website	0.007
many	score	0.043
many	used	0.059
many	range	0.186
many	producer	-0.019
many	prime	-0.016
many	minister	0.042
many	variant	0.08
many	related	0.069
many	product	0.007
many	rolling	-0.033
many	stock	0.08
many	production	0.014
many	produced	-0.054
many	residence	0.014
many	province	-0.026
many	released	-0.097
many	release	0.002
many	usual	0.012
many	onset	-0.048
many	prognosis	-0.032
many	time	0.091
many	zone	-0.066
many	served	-0.001
many	start	-0.188
many	via	-0.034
many	previous	0.113
many	owner	-0.053
many	treatment	0.034
many	subject	-0.057
many	nearest	-0.053
many	wessex	0.008
many	resettlement	0.138
many	ward	-0.083
many	screenplay	0.029
many	platform	-0.005
many	update	-0.094
many	origin	-0.075
many	recorded	-0.057
many	mother	0.054
many	music	-0.038
many	speaker	0.03
many	representative	0.022
many	skill	-0.058
many	tested	0.054
many	offered	0.084
many	territorial	-0.053
many	service	0.005
many	risk	0.007
many	nationality	-0.012
many	notable	0.208
many	work	0.136
many	role	0.105
many	street	-0.04
many	recognised	0.026
many	regional	0.043
many	president	0.032
many	succeeded	-0.005
many	office	0.018
least	method	0.128
least	spouse	-0.019
least	relative	0.083
least	parent	0.052
least	year	0.198
least	resting	0.005
least	place	0.027
least	type	0.023
least	treasurer	-0.041
least	official	0.109
least	prime	0.069
least	minister	0.002
least	occupation	0.037
least	mater	-0.006
least	student	0.012
least	symptom	0.051
least	terminus	0.074
least	locale	0.016
least	polity	0.029
least	unification	-0.007
least	written	-0.071
least	letterer	-0.07
least	postal	0.032
least	website	0.012
least	score	0.06
least	used	-0.03
least	range	0.068
least	rolling	-0.047
least	stock	-0.082
least	production	-0.077
least	produced	-0.104
least	residence	0.018
least	net	-0.138
least	worth	0.187
least	name	0.047
least	province	-0.037
least	released	0.009
least	studio	-0.013
least	release	0.03
least	running	-0.042
least	time	0.197
least	usual	0.022
least	onset	0.123
least	prognosis	0.023
least	zone	-0.047
least	saint	0.084
least	served	-0.012
least	previous	0.143
least	owner	0.047
least	treatment	0.079
least	nearest	0.111
least	location	0.039
least	screenplay	-0.045
least	platform	-0.0
least	license	-0.02
least	update	0.049
least	variant	0.076
least	origin	0.054
least	related	0.011
least	significance	-0.153
least	recorded	0.019
least	mother	-0.016
least	music	-0.024
least	observed	0.022
least	speaker	-0.064
least	representative	0.091
least	skill	-0.048
least	tested	-0.043
least	offered	0.039
least	service	-0.043
least	risk	0.052
least	manufacturer	-0.045
least	secretary	0.012
least	party	0.05
least	vice	-0.037
least	president	-0.022
least	nationality	0.043
least	subject	0.016
least	street	0.027
least	recognised	0.022
least	regional	-0.077
least	succeeded	-0.02
least	office	0.053
cause	least	0.048
cause	test	0.06
cause	diagnose	0.14
cause	jaundice	0.068
cause	fewer	0.077
cause	cause	1.0
cause	symptom	0.18
cause	hyperthyroidism	0.154
cause	diagnostic	0.039
cause	method	0.15
cause	ha	-0.006
cause	known	0.237
cause	exactly	0.032
cause	le	0.032
cause	several	0.046
cause	usual	0.036
cause	onset	0.041
cause	many	0.13
cause	trypanosomiasis	0.077
cause	stage	0.058
cause	form	0.047
cause	treatment	-0.003
cause	type	0.134
cause	diabetes	0.057
cause	quadriplegia	0.062
cause	medication	-0.033
cause	risk	0.093
cause	factor	0.165
cause	migraine	0.085
exactly	method	0.052
exactly	symptom	-0.006
exactly	spouse	-0.031
exactly	relative	0.046
exactly	parent	0.005
exactly	resting	0.048
exactly	place	0.12
exactly	year	0.063
exactly	type	0.239
exactly	treasurer	-0.06
exactly	name	0.035
exactly	official	-0.032
exactly	language	-0.047
exactly	government	0.017
exactly	prime	0.05
exactly	minister	0.011
exactly	label	0.065
exactly	genre	0.001
exactly	occupation	0.057
exactly	known	0.013
exactly	mater	0.028
exactly	institution	0.027
exactly	student	0.014
exactly	terminus	0.076
exactly	operator	0.012
exactly	last	0.057
exactly	polity	-0.12
exactly	first	0.017
exactly	imperial	0.033
exactly	unification	0.008
exactly	written	0.009
exactly	letterer	-0.041
exactly	postal	0.003
exactly	website	0.089
exactly	score	0.033
exactly	grade	-0.081
exactly	used	0.025
exactly	range	0.041
exactly	locale	0.106
exactly	rolling	-0.051
exactly	stock	-0.05
exactly	production	-0.019
exactly	produced	-0.038
exactly	residence	-0.024
exactly	net	0.048
exactly	worth	0.047
exactly	province	0.005
exactly	graphic	-0.07
exactly	released	0.009
exactly	producer	-0.02
exactly	release	0.046
exactly	usual	0.104
exactly	onset	0.073
exactly	prognosis	0.059
exactly	time	0.079
exactly	zone	0.04
exactly	saint	0.018
exactly	served	-0.025
exactly	start	0.008
exactly	garage	-0.043
exactly	previous	-0.075
exactly	owner	0.046
exactly	food	0.021
exactly	treatment	0.058
exactly	nearest	0.075
exactly	location	0.129
exactly	input	0.005
exactly	nationality	0.029
exactly	khan	-0.029
exactly	screenplay	-0.027
exactly	instrument	-0.01
exactly	license	-0.028
exactly	platform	0.077
exactly	family	-0.098
exactly	variant	-0.025
exactly	introduced	-0.062
exactly	origin	0.129
exactly	related	0.026
exactly	father	0.056
exactly	mother	0.022
exactly	house	-0.038
exactly	recorded	-0.078
exactly	music	-0.01
exactly	observed	-0.008
exactly	significance	0.069
exactly	speaker	0.038
exactly	representative	-0.009
exactly	flavour	0.04
exactly	knowledge	-0.086
exactly	skill	-0.016
exactly	tested	-0.012
exactly	fee	0.006
exactly	offered	-0.069
exactly	service	0.045
exactly	risk	-0.07
exactly	factor	-0.029
exactly	layout	0.053
exactly	style	0.101
exactly	legislature	0.017
exactly	secretary	-0.015
exactly	party	-0.026
exactly	subject	-0.02
exactly	notable	-0.147
exactly	work	0.062
exactly	role	0.053
exactly	recognised	-0.048
exactly	regional	-0.035
exactly	president	0.026
exactly	succeeded	-0.011
exactly	office	0.011
several	symptom	-0.007
several	spouse	-0.006
several	year	0.102
several	type	-0.075
several	treasurer	0.024
several	student	0.021
several	usual	0.002
several	terminus	-0.086
several	unification	0.077
several	written	0.077
several	website	0.04
several	used	0.042
several	variant	0.154
several	stock	0.093
several	time	0.05
several	zone	-0.062
several	system	-0.012
several	treatment	0.03
several	wessex	0.034
several	ward	-0.094
several	update	-0.023
several	speaker	0.029
several	skill	-0.02
several	tested	0.123
several	territorial	-0.01
several	subject	-0.043
several	work	0.07
several	street	-0.027
several	succeeded	0.075
josh	label	0.019
josh	occupation	0.009
josh	known	-0.039
homme	label	0.158
homme	occupation	0.038
homme	known	-0.081
ha	label	-0.015
ha	occupation	0.066
ha	known	-0.008
ha	type	0.028
ha	treasurer	-0.004
ha	spouse	-0.013
ha	name	-0.031
ha	political	0.035
ha	party	0.014
ha	year	0.057
ha	official	-0.006
ha	language	-0.079
ha	largest	-0.049
ha	religion	-0.017
ha	prime	0.002
ha	minister	0.05
ha	high	0.058
ha	method	-0.085
ha	symptom	-0.048
ha	usual	0.004
ha	onset	0.017
ha	partner	-0.01
ha	terminus	-0.05
ha	operator	-0.051
ha	locale	-0.081
ha	relative	-0.06
ha	last	-0.004
ha	polity	-0.087
ha	imperial	0.086
ha	unification	0.037
ha	republic	-0.023
ha	postal	-0.003
ha	website	-0.043
ha	score	0.006
ha	used	-0.034
ha	range	0.095
ha	parent	0.008
ha	residence	0.056
ha	mater	0.136
ha	net	0.086
ha	worth	0.057
ha	prognosis	-0.035
ha	summer	-0.01
ha	time	-0.053
ha	zone	0.064
ha	istat	0.128
ha	saint	-0.105
ha	province	0.066
ha	previous	-0.032
ha	owner	-0.012
ha	location	-0.039
ha	subject	0.075
ha	input	-0.013
ha	successor	-0.047
ha	wessex	-0.087
ha	resettlement	0.046
ha	ward	0.038
ha	khan	0.013
ha	variant	0.001
ha	introduced	0.003
ha	related	0.022
ha	product	-0.031
ha	mother	-0.002
ha	house	0.023
ha	offered	0.006
ha	purpose	-0.055
ha	territorial	0.138
ha	island	0.057
ha	secretary	0.04
ha	vice	0.094
ha	president	0.032
ha	legislature	-0.111
ha	national	0.102
ha	nationality	0.028
ha	notable	-0.061
ha	work	-0.057
ha	role	0.005
ha	street	-0.094
ha	recognised	0.045
ha	regional	0.105
label	label	1.0
label	whole	-0.059
label	life	-0.086
label	occupation	0.035
label	several	-0.007
label	many	-0.047
label	soul	0.099
label	recorded	0.181
label	length	0.055
label	wa	-0.034
label	throughout	-0.104
label	le	-0.041
label	least	-0.028
label	tiller	0.037
label	signed	0.224
label	michael	-0.041
label	released	0.223
label	music	0.209
label	record	0.32
label	summer	0.057
label	worked	0.002
label	producer	0.26
label	world	-0.007
label	website	0.047
label	year	0.015
label	studio	0.203
label	lynne	0.08
label	stage	0.006
label	name	0.299
label	made	-0.029
label	mcphee	0.062
associated	josh	0.021
associated	homme	0.043
associated	ha	-0.034
associated	label	0.12
associated	whole	-0.102
associated	life	0.017
associated	several	0.099
associated	many	0.077
associated	johnny	0.025
associated	cash	-0.041
associated	wife	0.016
associated	le	0.043
associated	least	-0.025
associated	exactly	-0.052
associated	collective	0.068
associated	soul	-0.017
associated	recorded	0.194
associated	full	0.046
associated	length	0.038
associated	wa	0.014
associated	different	0.037
associated	throughout	0.044
associated	career	-0.002
associated	jeff	0.044
associated	lynne	0.099
associated	stage	0.011
associated	name	0.125
associated	jidenna	0.043
associated	cky	0.027
associated	worked	0.172
associated	band	0.037
associated	formerly	0.1
associated	known	0.277
associated	inearthed	0.001
associated	hayley	0.018
associated	williams	0.098
associated	play	0.051
associated	instrument	-0.029
associated	justin	0.016
associated	bieber	-0.011
associated	made	-0.011
associated	music	0.013
associated	record	0.089
associated	iced	0.039
associated	earth	-0.016
associated	jet	-0.008
associated	company	0.109
associated	faith	-0.045
act	josh	-0.041
act	homme	0.021
act	ha	0.004
act	label	0.014
act	whole	-0.045
act	life	-0.003
act	several	-0.065
act	many	-0.006
act	johnny	0.072
act	cash	-0.069
act	wife	-0.027
act	le	0.048
act	least	-0.079
act	exactly	0.039
act	collective	0.069
act	soul	0.031
act	recorded	-0.023
act	full	-0.029
act	length	-0.066
act	album	0.097
act	wa	0.017
act	different	-0.091
act	throughout	-0.053
act	career	0.03
act	jeff	-0.044
act	lynne	-0.067
act	stage	0.303
act	name	-0.017
act	jidenna	-0.06
act	appeared	0.079
act	cky	-0.024
act	worked	0.027
act	band	0.109
act	formerly	0.064
act	known	0.043
act	inearthed	-0.007
act	hayley	0.004
act	williams	0.004
act	play	0.256
act	instrument	0.162
act	justin	0.037
act	bieber	-0.034
act	made	-0.026
act	music	-0.022
act	record	0.078
act	iced	-0.106
act	earth	-0.029
act	also	0.097
act	jet	0.003
act	company	-0.01
act	faith	0.052
occupation	whole	0.014
occupation	tiller	-0.011
occupation	signed	-0.043
occupation	several	-0.067
occupation	occupation	1.0
occupation	released	-0.052
occupation	record	0.07
occupation	wife	0.089
occupation	petter	0.008
occupation	wa	0.089
occupation	stage	0.027
occupation	rockefeller	-0.089
occupation	partner	-0.022
occupation	williams	0.038
occupation	play	0.046
occupation	whittaker	0.019
occupation	porte	0.046
occupation	served	0.072
life	occupation	0.182
life	spouse	0.113
life	name	0.041
life	political	0.085
life	party	-0.036
life	year	0.075
life	residence	0.131
life	nationality	0.031
life	subject	0.029
life	notable	-0.006
life	work	0.126
life	role	0.128
life	relative	0.042
also	josh	0.045
also	homme	-0.058
also	ha	0.083
also	several	0.21
also	label	0.05
also	whole	0.049
also	life	-0.046
also	jeff	0.036
also	lynne	-0.026
also	exactly	0.126
also	stage	-0.022
also	name	0.042
also	many	0.284
also	cky	-0.008
also	worked	-0.006
also	throughout	0.184
also	career	0.021
also	band	-0.007
also	formerly	0.279
also	known	0.12
also	inearthed	0.068
also	least	0.072
also	le	-0.082
also	iced	0.032
also	earth	-0.039
also	also	1.0
also	associated	0.07
also	website	0.091
also	year	-0.027
also	halloween	-0.031
also	directly	0.107
also	related	0.021
also	holiday	-0.037
also	vesak	0.039
also	official	-0.01
also	māgha	-0.069
also	pūjā	0.0
also	observed	-0.024
also	country	0.018
known	several	0.164
known	label	0.047
known	whole	-0.075
known	life	0.023
known	skafte	-0.023
known	rasmussen	-0.054
known	many	0.168
known	occupation	0.008
known	least	0.112
known	method	0.139
known	symptom	0.097
known	usual	0.117
known	onset	0.069
known	segal	-0.057
known	married	0.094
known	le	-0.021
known	time	0.052
known	major	0.147
known	petter	0.102
known	wa	-0.021
known	known	1.0
known	lynne	0.003
known	stage	-0.02
known	name	0.376
known	worked	0.322
known	throughout	0.101
known	official	0.09
known	type	0.083
known	meow	-0.051
known	owner	0.025
known	porte	-0.074
known	served	0.303
known	military	-0.035
known	twice	-0.037
genre	josh	-0.032
genre	homme	0.042
genre	ha	0.033
genre	many	-0.005
genre	label	0.194
genre	whole	-0.023
genre	life	-0.063
genre	johnny	0.039
genre	wa	0.015
genre	throughout	-0.064
genre	least	0.033
genre	tiller	-0.024
genre	signed	-0.049
genre	several	-0.006
genre	le	0.026
genre	julia	0.006
genre	michael	0.001
genre	released	0.036
genre	music	0.283
genre	record	0.102
genre	summer	0.032
genre	hip	0.183
genre	hop	0.183
genre	worked	-0.065
genre	producer	0.217
genre	jimmy	-0.01
genre	world	0.075
genre	jordan	-0.08
genre	manhattan	0.016
genre	kamelot	-0.018
genre	made	-0.024
genre	member	-0.024
genre	john	0.029
genre	wesley	-0.016
genre	harding	-0.031
genre	written	0.023
genre	people	0.051
genre	person	0.06
genre	katharine	-0.013
genre	mcphee	-0.013
genre	jet	-0.002
johan	spouse	0.013
johan	known	-0.0
johan	occupation	-0.062
petter	spouse	0.176
johansson	spouse	0.024
johansson	known	-0.015
johansson	occupation	0.026
got	spouse	-0.004
married	spouse	0.526
married	year	0.09
married	resting	-0.007
married	place	0.036
married	occupation	0.144
married	relative	0.083
married	name	0.1
married	mater	0.004
married	subject	0.065
married	mother	0.16
married	partner	0.18
born	johan	0.07
born	petter	-0.035
born	johansson	0.064
born	got	0.07
born	married	0.375
born	le	-0.009
born	life	0.094
born	time	0.098
born	exactly	0.112
born	twice	-0.039
born	many	-0.072
born	several	-0.12
born	least	0.032
born	janet	0.009
born	leigh	0.043
born	wa	-0.086
born	joe	0.003
born	ha	-0.028
born	wife	0.067
born	chad	-0.036
born	kroeger	0.007
born	jørgen	-0.012
born	skafte	0.028
born	rasmussen	-0.05
born	child	0.281
born	johannes	0.078
born	gutenberg	-0.043
born	held	0.125
born	occupation	0.092
born	keeley	-0.054
born	hawes	-0.022
born	husband	0.05
born	katey	0.012
born	segal	-0.04
born	charlie	-0.014
born	sheen	0.062
born	divorced	0.222
born	dean	0.01
born	kamen	0.064
born	major	0.02
born	jeff	-0.022
born	house	-0.032
born	known	0.205
born	invensions	0.155
born	charo	0.075
born	jennifer	0.015
born	connelly	-0.031
born	lynne	0.013
born	stage	-0.01
born	name	0.112
born	kathie	-0.034
born	lee	0.053
born	gifford	0.018
born	david	0.013
born	cook	0.044
born	immediate	-0.023
born	family	0.035
born	member	0.059
born	jidenna	0.007
born	different	0.007
born	label	0.043
born	jimmy	0.014
born	fallon	-0.105
born	jordan	-0.029
born	fisher	0.018
born	manhattan	-0.045
born	cat	-0.024
born	dog	-0.046
born	college	-0.005
born	degree	0.096
born	camilla	-0.038
born	rosemary	0.028
born	shand	0.023
born	france	0.027
born	diana	0.002
born	mother	0.225
born	johnny	0.021
born	depp	-0.029
born	katie	0.005
born	cassidy	0.063
born	jodie	-0.013
born	whittaker	-0.035
born	ngunaitponi	-0.061
child	johan	0.056
child	petter	0.023
child	johansson	0.072
child	got	0.004
child	married	0.11
child	le	-0.072
child	life	-0.016
child	twice	0.013
child	johnny	0.066
child	many	-0.049
child	wife	0.144
child	several	-0.079
child	david	0.104
child	rockefeller	-0.021
child	least	0.098
child	child	1.0
child	margaret	0.017
child	mcgrath	-0.0
child	spouse	0.183
child	parent	0.502
child	exactly	0.023
child	joe	0.01
child	ha	-0.041
child	jørgen	0.055
child	skafte	0.043
child	rasmussen	0.035
child	died	-0.002
child	known	-0.056
child	wa	0.001
child	different	0.073
child	label	0.012
child	throughout	-0.001
child	keeley	-0.055
child	hawes	-0.02
child	husband	0.107
child	depp	0.076
child	invensions	0.049
child	jennifer	0.063
child	connelly	0.028
child	kathie	0.005
child	lee	0.029
child	gifford	-0.056
child	name	0.024
child	cook	0.06
child	immediate	-0.012
child	family	0.187
child	member	0.028
child	partner	0.022
child	dallas	-0.0
child	howard	0.051
child	relative	0.023
child	jim	0.004
child	time	0.056
child	jodie	0.016
child	whittaker	-0.079
child	dr	0.033
child	john	0.053
child	s.	0.008
child	pemberton	0.043
died	johan	0.033
died	petter	-0.016
died	johansson	-0.039
died	got	0.153
died	married	0.267
died	life	0.168
died	time	0.071
died	exactly	0.034
died	twice	0.023
died	many	0.065
died	several	0.041
died	least	0.085
died	le	0.03
died	jørgen	-0.039
died	skafte	0.02
died	rasmussen	-0.045
died	johannes	0.064
died	gutenberg	0.002
died	held	0.106
died	occupation	0.086
died	wa	0.017
died	known	0.248
died	invensions	0.134
died	france	-0.03
died	mother	0.193
died	karl	-0.012
died	ferdinand	-0.037
died	dr	-0.029
died	john	0.072
died	s.	0.078
died	pemberton	-0.039
died	wife	0.161
spouse	time	-0.03
spouse	twice	0.039
spouse	wife	0.742
spouse	wa	-0.021
spouse	whittaker	0.086
johnny	relative	0.021
johnny	spouse	0.01
johnny	label	0.054
johnny	occupation	-0.018
johnny	partner	0.002
johnny	year	-0.061
cash	relative	0.071
cash	spouse	0.023
cash	child	0.021
cash	label	-0.005
cash	genre	0.114
relative	wife	0.187
relative	several	0.035
relative	segal	0.053
relative	time	0.064
relative	rockefeller	-0.031
consequence	least	-0.131
consequence	consequence	1.0
consequence	field	-0.033
consequence	equivalent	0.065
consequence	le	-0.068
consequence	several	-0.003
consequence	exactly	-0.02
consequence	many	0.049
